417,Iran or present-day Turkmenistan
418,Jazira (or Iran?)
419,Jordan
420,present-day Afghanistan or Italy
421,Germany|Iran
422,The Netherlands
423,Italy or the Netherlands
424,Northwestern Iran or Caucasus
425,probably Iran or Turkey
426,probably Western Iran
427,Eastern Islamic lands
428,Western Islamic Lands
429,Uzbekistan
430,probably the Netherlands
431,"Egypt, Iraq or Syria"
432,Iran|Epypt
433,probably Western Turkey
434,Northwest Turkey
435,probably Central Turkey
436,Central Turkey
437,Sothern Turkmenistan
438,present-day Uzbekistan|present-day Afghanistan
439,present-day Uzbekistan and Afghanistan
440,possibly Egypt
441,Probably Egypt
442,probably Afghanistan
443,probably Western India
444,Northwestern Iran or Turkey
445,Egypt or Iran
446,Probably Iran
447,Turkey or Iran
448,Northern or Central India
449,India|present-day Afghanistan or Iran
450,Northern or Western India
451,"Iran, Syria or Turkey"
452,possibly Morocco
453,Central Asia or Iran
454,Northern India or Deccan
455,Present-day Turkmenistan
456,Afghanistan or Eastern Iran
457,Western Iran or Northern Iraq
458,Iraq or Turkey
459,Probably Iraq
460,Egypt|Iraq or Iran
461,india
462,Central India or Sri Lanka
463,possibly Iran
464,possibly Turkey
465,"Syria, Yemen, or North Africa"
466,Morocco or Southern Spain
467,Eastern islamic lands
468,India|India
469,Afghanistan or Iran
470,Iran|present-day Afghanistan
471,India or Sri Lanka
472,possibly Afghanistan
473,Egypt|Egypt
474,present-day  Afghanistan
475,Afghanistan or Northeastern Iran
476,Syria or Iran
477,USA
478,Egypt possibly (modern)
479,Egypt possibly
480,North India
481,North India or Deccan
482,South India
483,Nepal
484,probably France
485,North India or South India
486,Bohemia
487,Italy (?)
488,Northern Italy
489,Italy?
490,Byzantine Egypt
491,Europe
492,Nicomedia
493,Central Italy
494,Flanders
495,Spain (Setting)
496,Tirana
497,France or Germany
498,possibly Syria
499,Norway
500,Northern Adriatic
501,Syria (?)
502,North France
503,France or North Spain
504,North France or South Netherlands
505,North Africa (box)|Spain (lid)
506,northern France
507,Netherlands or France
508,Germany or the Netherlands
509,Eastern Mediterranean
510,south central France
511,South France
512,Sweden
513,French
514,"Spain or Limoges, France"
515,France (?)
516,Northern France
517,Nothern France
518,northern France or western Germany
519,Russian|Northern France
520,La Tène II
521,Northern France (?)
522,probably northern France
523,probably northern Italy
524,Western France
525,Gaul
526,Alamania|Northern France
527,Alamania
528,Alamania|France
529,Alamanian|Northern France
530,Northern France|Alamania
531,Niederbreisig
532,Western Germany
533,Rhein
534,Alamania|Northern France|Germany
535,Northern France|Germany
536,Germany|Nothern France
537,Nothern France|Germany
538,southern Germany or Switzerland
539,southern Italy
540,South Netherlands
541,Italian
542,Scandinavia
543,Gotland
544,Central Europe
545,present-day France
546,Egypt or Syria (?)
547,England (possibly)
548,the Iberian peninsula (Spain)
549,Iberian Peninsula
550,Germany (?)
551,France or Netherlands
552,central Europe
553,northern Europe
554,Spain or France
555,Southern France
556,Southwestern France
557,Belgium
558,probably North Africa
559,present-day Spain
560,German
561,Germany or Netherlands
562,Spain or|Central Italy
563,French|Belgium
564,France (probably)
565,Brussels
566,Austria (possibly)
567,north or central Syria
568,possibly southern England
569,posssibly Gaul
570,Rome
571,Italy or present-day Spain
572,Northern Switzerland
573,Central or Southern Italian
574,European
575,Germany or France
576,Northern Switzerland (?)
577,Austrian
578,"Lake Van region, Vaspurakan (now eastern Turkey)"
579,Germany (present day France)
580,Northeastern France
581,Gaul (France)
582,Northeast Italy
583,Spain and Italy
584,Italy (North)
585,Ukraine
586,Black Sea
587,probably Italy
588,italy
589,North Netherlands
590,North Netherland
591,Germany or South Germany
592,Austria (mounts)
593,Lower Austria
594,France or England
595,Germany (present-day France)
596,Constantinople
597,South Italian
598,probably British Isles
599,South Netherland
600,Northern Europe
601,England or Scandinavia
602,South Netherlandish
603,France or Spain
604,France|France
605,Haute Garonne.
606,Austria?
607,the Netherlands
608,"Austria (now Italy, Trentino-Alto Adige)"
609,"England or Meaux, France"
610,Carpathian Basin region
611,east-central Europe
612,Greece or the Balkans (possibly)
613,Probably Gaul
614,Bulgaria (possibly)
615,probably Greece or Constantinople
616,Southern Russia or Black Sea Region (?)
617,Damascus or Jerusalem
618,"Probably Tunisia, Qairawan"
619,"Syria, Byzantine Palestine, Constantinople (?)"
620,Constaninople (?)
621,Syria or Egypt (Alexandria)
622,Eastern Mediterranean or Egypt
623,Syria or Constantinople (?)
624,"Lebanon, Tyre"
625,"Jordan, excavated Church on the Acropolis, Ma'in"
626,"excavated Kayanus Church, ‘Uyun Musa"
627,Jerusalem (?)
628,Constantinople (?)
629,"Egypt, Saqqara (?)"
